temperature_c,humidity,wind_speed_kmh,precipitation,battery_percentage,vehicle_speed_kmh,hvac_usage,terrain_type,battery_age_years,battery_capacity_kwh,epa_range_km,vehicle_weight_kg,range_degradation_pct
32.1,78,40.2,snow,52,126.0,True,mountainous,6.0,99.4,680.5,1538,48.74
3.1,30,40.0,none,75,116.5,True,flat,7.2,65.9,388.2,1985,36.31
-21.6,30,56.6,rain,37,118.8,True,flat,7.9,41.9,211.3,1822,65.0
19.9,25,59.6,none,52,93.2,False,flat,1.6,58.1,405.9,2055,10.38
23.3,43,58.2,none,30,113.3,False,hilly,9.7,79.0,467.1,2489,23.11
9.3,86,32.8,none,80,105.7,True,flat,2.3,94.6,491.6,1546,21.31
24.0,85,50.5,snow,15,46.2,True,flat,2.5,76.9,468.9,2270,19.73
4.6,44,46.2,snow,73,94.9,True,flat,1.5,68.3,422.2,1525,29.12
6.6,63,33.7,rain,44,44.8,True,mountainous,0.4,44.8,274.8,1761,37.59
-0.1,75,47.8,none,14,116.9,True,flat,8.1,48.7,337.4,2206,33.57
-28.2,32,75.8,rain,87,36.6,True,flat,0.1,43.2,243.7,1775,65.0
-22.4,25,15.4,none,54,128.7,False,flat,4.6,82.7,419.1,2111,58.9
-27.8,97,72.5,none,64,70.1,True,flat,0.9,89.9,614.6,2467,65.0
14.5,66,4.3,none,76,47.1,True,flat,0.4,49.9,268.4,2375,11.21
-8.0,98,24.7,none,69,123.6,True,hilly,9.3,59.5,386.8,2336,45.21
5.6,40,23.1,none,76,34.5,True,hilly,8.3,68.7,371.8,1694,27.28
33.5,73,50.1,rain,79,77.0,True,flat,3.9,48.6,323.4,1772,22.84
-12.5,30,10.5,none,63,107.0,False,flat,4.6,65.0,442.6,2288,40.02
-1.3,34,70.6,none,43,61.7,True,flat,8.7,98.0,510.7,2230,40.55
22.9,56,66.3,none,32,82.9,False,flat,8.0,83.1,440.2,1791,12.72
-14.0,39,52.2,none,91,100.0,True,hilly,6.9,50.0,342.6,1929,61.98
-24.6,25,36.7,none,97,125.2,True,flat,5.4,45.9,300.4,2149,65.0
-9.7,34,74.6,none,42,40.3,True,flat,6.1,66.7,338.7,2026,37.29
-18.7,13,66.5,none,20,45.7,True,flat,3.9,99.3,532.6,1956,56.13
35.1,73,39.9,none,30,80.9,True,flat,5.3,87.6,510.2,1600,19.42
26.6,54,56.1,none,70,71.8,False,flat,5.4,57.6,387.5,1935,4.68
14.3,18,45.4,none,26,71.1,False,flat,8.6,41.6,220.4,2492,12.69
31.0,25,47.0,none,80,59.7,True,hilly,2.2,64.7,417.1,1842,18.85
26.3,19,26.5,none,93,86.1,True,flat,2.5,49.6,256.5,2194,15.58
-16.9,65,37.0,none,97,118.3,True,hilly,2.1,50.8,301.6,2006,65.0
32.5,18,6.2,none,11,46.1,True,flat,5.8,49.7,321.2,2295,16.96
7.8,78,28.6,none,96,51.5,False,hilly,7.0,83.2,426.6,2248,20.31
26.5,12,55.7,none,77,97.1,False,flat,2.4,42.2,228.0,2444,8.36
32.7,32,76.3,none,18,35.6,True,flat,6.8,73.9,486.4,2151,15.14
-7.7,90,77.0,rain,47,97.4,True,flat,6.3,85.2,453.6,2448,50.05
-22.3,75,44.5,none,73,61.4,True,flat,3.2,49.4,312.9,1542,60.08
-14.0,17,48.5,rain,96,65.8,True,flat,2.3,93.6,588.1,1907,47.26
-0.1,84,14.9,rain,25,70.6,True,flat,8.8,44.7,270.0,2175,38.5
27.3,54,55.6,rain,21,65.0,False,flat,5.7,81.0,437.5,1980,12.11
30.3,86,5.7,none,53,114.1,False,hilly,7.0,50.3,293.5,2432,17.84
-29.5,64,22.8,rain,97,124.6,True,flat,9.3,88.4,551.7,1641,65.0
5.8,71,53.5,none,97,84.8,True,flat,2.1,74.3,502.4,1980,27.93
-0.8,99,24.8,none,31,88.2,True,flat,3.5,75.4,497.0,2356,34.85
-14.5,31,4.0,none,39,37.0,True,flat,4.3,60.8,377.6,2257,41.23
-21.6,66,66.5,snow,92,101.3,True,mountainous,2.3,57.0,311.0,2291,65.0
-6.4,51,24.8,none,76,88.4,True,flat,8.4,67.8,368.4,1962,45.85
36.0,14,5.0,snow,98,35.0,True,flat,0.8,85.5,566.4,1838,18.22
-7.4,11,6.0,none,90,49.8,True,flat,2.4,50.1,317.0,2006,31.7
6.3,21,20.1,snow,29,50.2,True,hilly,1.9,89.0,508.6,1701,29.71
19.2,68,14.2,snow,78,47.1,False,flat,9.5,68.8,477.6,2141,17.61
-4.5,61,61.9,snow,14,95.9,True,hilly,6.3,67.1,455.1,2286,49.97
38.0,60,25.7,none,84,122.8,False,mountainous,7.2,41.0,260.0,1572,26.52
37.4,13,64.4,rain,64,106.3,True,hilly,1.1,47.5,272.3,2099,21.59
-12.4,52,13.9,snow,96,77.7,True,hilly,1.9,65.9,370.3,2075,56.97
4.8,93,39.4,none,96,70.4,True,hilly,8.1,98.9,680.2,1764,30.67
-8.9,46,55.0,none,15,68.6,True,flat,5.7,55.0,323.8,2495,41.38
-10.1,66,52.2,rain,24,90.1,False,flat,0.5,40.6,268.1,2000,34.35
-27.4,80,48.1,none,54,65.9,True,hilly,5.7,66.2,455.1,2388,65.0
12.7,81,74.0,rain,89,52.6,True,flat,4.8,41.0,245.1,1690,25.92
5.2,57,18.3,none,83,90.3,True,hilly,1.5,60.2,379.5,2249,31.43
-26.4,87,39.5,none,97,69.1,True,flat,5.9,61.2,316.8,1579,65.0
-10.5,45,70.7,none,66,31.4,True,flat,1.7,40.1,253.1,1568,35.52
33.6,90,6.2,none,33,32.2,True,hilly,8.1,86.8,471.2,1692,20.47
-13.2,32,4.5,none,12,57.4,True,flat,6.2,94.8,600.9,2237,41.28
-19.9,35,18.7,rain,30,81.2,True,hilly,8.7,99.9,519.8,2497,65.0
4.3,15,50.6,none,71,65.4,True,mountainous,4.2,70.5,422.5,2311,37.44
39.0,82,20.8,rain,93,32.4,True,hilly,5.1,58.4,352.8,1925,13.97
-13.1,48,15.2,rain,39,52.3,True,flat,7.6,83.0,495.6,2144,53.82
17.0,31,36.7,none,89,39.6,False,hilly,5.5,84.2,548.4,1975,9.05
23.3,31,49.1,none,46,124.9,False,flat,5.7,62.8,408.5,1747,12.07
-13.4,91,19.9,none,38,61.3,True,flat,5.5,73.9,474.1,2116,50.55
21.0,85,24.1,none,56,31.5,False,flat,4.9,89.3,559.3,2030,7.61
-4.3,60,49.1,none,50,96.1,True,flat,8.1,51.4,349.6,2038,45.06
14.3,65,75.7,none,92,53.2,False,flat,4.9,41.2,253.6,1563,9.75
14.3,53,54.0,snow,52,86.7,True,flat,9.0,72.4,412.3,1621,33.98
7.5,45,62.6,none,35,45.1,True,mountainous,8.1,79.9,408.8,2000,39.21
-23.7,92,29.3,none,86,128.4,True,hilly,6.9,74.5,452.3,1859,65.0
28.5,21,21.8,snow,100,127.0,False,hilly,9.0,75.8,413.4,1925,30.14
-7.5,48,36.3,rain,68,95.6,True,flat,5.4,63.6,367.1,1890,46.63
-16.9,41,64.6,rain,33,100.7,False,flat,8.2,79.1,403.3,2211,53.83
-27.1,55,36.5,rain,31,72.6,True,flat,2.4,42.6,267.4,1679,65.0
11.4,51,67.7,none,15,126.2,True,hilly,0.7,49.1,332.4,2442,32.59
17.4,57,79.1,rain,17,72.4,False,mountainous,6.9,66.7,376.8,1970,29.67
-28.8,23,5.8,snow,92,53.9,True,hilly,3.0,96.6,638.4,1840,65.0
5.8,56,3.6,none,19,41.5,True,hilly,6.3,78.7,413.2,1521,32.48
-14.1,32,12.0,none,54,50.8,True,flat,0.8,61.3,395.3,1855,45.69
15.2,27,30.7,none,73,87.2,False,flat,9.6,67.5,348.2,2126,12.94
-17.8,16,10.5,none,87,54.5,True,flat,5.2,90.7,500.6,2297,49.43
18.4,79,69.7,none,25,95.4,False,flat,0.1,72.5,415.0,2232,4.35
-2.9,48,1.9,none,49,68.2,True,hilly,4.8,42.9,227.8,2073,33.01
35.6,66,25.3,none,33,118.7,True,mountainous,7.9,65.0,349.0,1936,36.86
-20.4,75,14.8,none,33,85.8,True,flat,8.7,63.3,404.9,2025,65.0
-6.1,71,74.5,none,37,92.3,True,hilly,4.6,94.0,488.0,2462,48.58
-22.1,52,53.6,rain,63,85.7,True,flat,1.3,58.3,400.6,2466,64.71
34.7,45,73.0,none,11,118.6,False,hilly,9.1,43.9,286.8,2303,22.57
31.4,44,77.8,none,47,36.3,True,flat,9.8,61.3,350.2,1667,17.33
-11.9,68,39.8,none,27,36.7,True,flat,0.6,42.6,266.8,2434,40.67
16.2,55,18.7,none,97,100.2,False,hilly,0.8,89.9,579.1,2148,16.47
27.2,86,15.5,none,62,106.8,False,flat,5.7,75.4,466.7,1978,12.46
8.9,89,17.8,none,88,73.4,False,flat,5.3,68.2,425.1,2061,13.75
7.1,25,56.7,rain,28,65.2,True,hilly,5.9,61.6,420.8,1976,40.41
-13.1,22,3.2,none,83,57.8,True,flat,3.2,65.1,439.9,1978,44.6
-23.5,67,4.1,none,47,53.4,True,hilly,0.5,87.3,595.8,1931,65.0
32.8,37,48.7,none,26,121.2,True,hilly,5.8,50.8,343.9,2396,29.32
33.0,12,51.4,none,79,59.5,True,flat,1.5,44.3,282.1,1956,13.75
14.3,90,53.2,rain,79,94.8,True,flat,3.4,73.7,441.0,1720,28.85
-6.3,30,29.8,none,100,108.7,True,flat,5.8,91.5,546.9,1729,45.23
-5.6,94,64.5,rain,80,32.2,True,flat,2.1,73.7,482.5,1632,36.15
20.8,75,42.7,none,23,33.4,False,flat,5.4,87.8,601.0,2054,8.54
32.8,79,8.4,rain,39,63.3,True,flat,7.1,93.6,484.3,1825,21.48
32.1,28,63.8,rain,51,99.6,True,hilly,0.7,44.6,301.3,2077,28.29
24.6,31,76.2,rain,21,56.1,False,flat,6.2,75.4,504.8,2431,14.16
14.9,57,4.8,snow,81,30.1,True,flat,5.1,90.0,465.6,2456,27.15
-24.1,25,31.3,none,57,58.8,True,hilly,1.0,78.6,496.3,1806,65.0
-18.7,37,39.0,snow,95,39.0,True,hilly,7.1,75.5,524.2,1720,65.0
32.9,39,11.7,none,63,51.9,True,mountainous,3.1,87.3,585.1,1555,27.68
12.5,24,69.4,rain,57,63.3,True,hilly,1.8,82.4,422.5,1773,25.56
-29.4,28,22.7,none,16,42.8,True,flat,2.8,70.1,480.2,2006,65.0
-22.9,81,62.6,none,23,100.6,True,mountainous,5.5,42.6,228.0,2103,65.0
16.4,25,53.7,rain,86,55.6,True,flat,5.8,76.8,395.1,1598,16.25
-29.6,13,47.8,none,99,96.1,True,hilly,1.7,52.8,288.0,1745,65.0
-18.7,67,15.4,none,47,89.9,True,flat,9.4,55.2,329.6,1542,59.36
8.4,98,17.7,rain,83,119.8,True,flat,3.3,80.8,535.6,2276,28.15
18.4,40,3.8,none,66,38.8,False,hilly,2.7,67.2,371.8,1770,8.71
15.6,21,19.3,none,96,51.5,False,flat,1.9,83.0,479.8,2069,6.45
-14.3,61,27.6,none,31,116.5,False,flat,1.2,63.6,335.7,1960,36.47
19.9,92,66.7,none,59,112.2,False,hilly,9.8,92.2,514.8,1977,22.1
-13.4,81,29.3,none,47,49.2,True,flat,6.7,65.6,446.5,2166,46.79
-7.2,66,60.4,none,59,40.8,True,flat,7.9,69.6,443.0,1910,42.89
22.3,38,35.2,none,34,115.6,True,flat,4.0,47.6,302.0,1750,20.25
15.5,59,62.8,none,55,47.8,False,hilly,4.1,70.2,386.2,1910,10.99
29.4,18,78.1,none,66,117.1,False,flat,9.9,54.4,287.8,2324,17.91
16.0,71,19.2,rain,17,126.1,False,flat,2.0,85.8,581.1,2062,8.59
9.8,75,69.0,none,77,52.1,True,flat,3.3,82.8,570.6,2477,27.51
-23.4,97,49.7,rain,74,114.0,False,flat,2.0,41.0,209.1,2285,64.12
-4.3,33,65.4,none,89,72.4,True,flat,2.8,69.6,422.0,2326,35.57
-11.4,12,52.1,none,48,108.9,True,hilly,6.6,42.7,251.2,2283,52.13
-12.9,59,33.9,none,16,70.7,True,flat,3.1,74.2,480.3,1942,44.69
38.1,74,18.2,rain,52,37.0,True,flat,8.8,94.1,527.3,2304,25.34
-2.5,81,5.6,rain,22,101.3,True,flat,0.5,92.0,574.4,2131,39.95
32.4,27,42.8,rain,68,45.1,True,hilly,3.5,54.6,282.2,1726,24.96
14.2,34,79.2,none,14,122.7,False,hilly,8.6,48.4,321.7,1595,27.09
25.6,56,59.0,rain,44,71.8,False,flat,6.2,87.5,479.1,1999,13.66
5.2,40,26.2,none,17,38.2,True,flat,7.7,72.8,409.5,2083,22.28
10.4,87,66.2,rain,10,52.8,True,hilly,3.2,65.4,376.6,1849,23.24
4.5,53,61.5,none,96,116.3,True,hilly,3.7,88.6,479.8,2130,34.23
-16.3,82,22.5,none,100,62.1,True,flat,8.9,55.2,365.0,1651,61.01
20.6,62,1.1,none,60,115.6,False,hilly,7.5,53.5,274.7,2306,16.87
-10.3,80,9.5,none,32,47.2,True,hilly,3.8,76.7,526.8,1901,40.03
-28.3,40,70.2,none,92,76.8,True,flat,2.2,56.4,386.7,2226,65.0
15.2,85,66.9,none,93,117.8,False,flat,1.1,65.6,436.6,2353,10.96
-17.6,35,23.6,none,87,34.8,True,flat,8.6,67.3,464.6,1739,57.05
35.8,59,22.8,snow,59,60.4,True,mountainous,7.0,52.3,341.1,2045,40.65
36.8,29,63.4,none,17,121.0,True,hilly,6.1,43.7,267.7,1625,26.95
34.0,53,75.0,rain,18,89.7,True,flat,7.8,86.0,554.1,1543,24.7
-4.1,39,62.3,snow,91,101.6,True,flat,9.1,87.0,435.8,1540,46.72
-28.9,34,48.4,snow,89,114.2,True,flat,7.6,75.9,483.6,2450,65.0
35.0,97,19.4,rain,49,82.4,True,flat,4.2,48.9,248.7,1545,22.03
-0.0,24,42.1,rain,40,114.5,True,flat,1.8,68.6,464.6,2103,36.06
37.7,81,18.7,none,68,93.9,False,flat,7.1,50.7,344.2,1557,9.92
37.5,99,64.6,none,83,98.6,True,flat,2.5,92.9,485.6,2215,22.49
29.7,12,31.0,none,76,45.3,False,flat,7.8,81.8,520.4,1989,9.56
-9.4,73,66.7,none,65,123.9,True,hilly,3.4,41.9,265.4,1708,52.96
-3.0,33,30.5,none,31,109.6,True,hilly,1.6,40.1,240.4,2103,42.8
29.6,14,65.9,none,34,55.4,False,hilly,2.5,99.0,500.1,1834,13.47
-7.8,46,26.7,none,75,88.0,True,hilly,2.7,42.4,221.6,1652,49.18
-18.1,94,35.2,rain,82,67.6,True,flat,3.8,92.0,581.0,2240,57.41
9.0,11,49.2,none,20,96.0,False,flat,2.6,97.3,589.9,1882,18.9
35.5,63,5.6,none,27,129.4,True,flat,2.3,58.5,297.8,1969,23.5
18.7,55,75.9,none,71,34.6,False,flat,3.9,72.4,437.0,1539,6.0
9.9,89,45.9,none,45,125.3,True,hilly,8.7,78.8,528.1,2064,30.11
-23.2,18,40.6,snow,61,37.2,True,flat,0.7,71.2,483.0,2014,65.0
13.1,71,67.2,none,65,76.1,True,flat,3.0,52.8,337.7,2248,20.33
39.3,71,69.3,none,80,78.2,True,flat,5.6,74.9,473.6,1978,16.58
-20.2,70,41.8,none,83,56.9,True,flat,8.7,55.5,363.0,2344,63.55
6.3,95,74.2,none,35,86.7,True,flat,2.8,49.9,262.8,1848,24.03
31.4,84,5.2,none,59,113.4,True,flat,3.5,70.3,378.4,2247,20.79
21.9,14,9.1,none,21,59.4,False,flat,8.0,62.3,372.1,1742,7.92
18.8,52,47.7,none,86,37.0,False,flat,3.7,41.6,245.8,2363,5.33
19.2,46,28.3,none,86,93.2,True,flat,8.5,97.0,520.7,1852,23.52
-4.8,38,37.1,rain,37,105.2,False,hilly,4.6,42.4,269.3,2236,37.23
-9.4,51,26.2,none,24,125.5,True,flat,5.7,94.2,610.5,2304,45.35
26.7,45,32.4,none,16,46.0,False,hilly,5.6,51.4,284.8,1664,10.37
26.7,49,65.8,none,62,120.1,False,flat,1.2,48.5,272.9,2301,11.34
30.7,98,47.5,none,18,78.2,True,flat,3.5,44.1,243.5,1790,15.0
33.9,18,79.8,snow,71,53.6,True,flat,2.4,65.5,364.2,2095,20.72
5.8,93,63.0,none,71,126.3,True,mountainous,6.8,75.2,430.9,2022,54.4
5.1,53,21.9,snow,65,53.8,True,flat,9.3,94.2,554.2,2086,34.78
25.9,66,21.1,none,89,103.3,False,hilly,2.1,87.0,519.4,2289,17.09
15.5,85,26.9,rain,44,108.5,False,hilly,0.9,49.6,296.0,2331,15.73
19.1,42,67.5,none,91,73.1,False,flat,5.1,50.1,312.1,1751,10.46
25.7,49,2.2,none,13,99.0,False,flat,3.9,40.5,230.3,1689,7.78
32.3,47,18.4,none,20,87.2,True,hilly,0.4,81.3,488.2,1584,18.71
-6.3,44,72.4,none,47,49.2,True,flat,9.2,41.0,246.8,2206,39.89
-3.7,93,51.2,none,63,106.0,False,flat,9.4,48.3,250.9,1976,34.64
-23.4,85,18.1,none,13,122.8,True,hilly,8.5,78.1,488.6,1649,65.0
10.5,20,17.5,rain,61,78.9,True,hilly,2.8,49.0,272.3,1983,25.73
-27.5,20,69.0,none,38,129.4,True,hilly,1.2,49.2,250.6,2485,65.0
2.6,49,71.5,none,90,72.8,True,flat,5.9,54.0,340.1,2058,35.32
8.0,19,20.5,rain,58,78.0,True,flat,2.8,63.1,321.7,2372,21.49
-9.9,66,33.6,none,63,97.4,True,flat,2.0,40.5,238.1,1588,42.59
11.4,23,66.8,rain,95,48.6,True,flat,6.4,84.8,529.1,2402,22.92
-27.9,57,61.7,none,79,120.2,True,flat,7.5,86.4,604.8,2058,65.0
-27.4,11,65.1,none,49,110.1,True,flat,5.3,62.0,373.9,2040,65.0
27.6,38,41.5,none,53,117.2,False,flat,3.2,87.9,495.4,1638,11.26
-4.8,71,72.9,snow,68,91.0,False,hilly,5.1,57.1,341.6,1957,45.78
-21.1,54,26.1,rain,28,118.4,False,flat,6.0,99.1,534.5,1985,60.9
6.6,98,12.5,snow,18,98.0,True,flat,0.5,63.9,375.3,1640,31.71
23.9,89,56.7,none,38,81.2,False,hilly,4.4,80.1,540.6,1836,12.97
-14.9,42,43.1,rain,80,123.2,True,flat,6.0,59.3,312.9,2379,61.49
13.6,14,68.4,none,33,74.0,True,flat,1.3,67.0,406.3,1533,20.37
-24.0,86,6.5,none,22,80.1,True,flat,4.5,78.7,491.2,2024,65.0
-26.4,92,67.5,rain,30,47.0,True,hilly,3.5,60.9,342.4,2282,65.0
7.2,84,23.5,none,71,124.8,True,flat,8.7,79.4,513.8,2468,31.38
7.8,22,52.4,none,65,52.1,True,flat,4.9,48.8,308.5,2158,25.2
14.6,100,3.2,none,72,50.1,True,mountainous,4.3,69.0,409.2,1540,31.3
20.8,33,48.8,rain,39,40.1,False,hilly,2.4,56.4,354.0,2219,11.79
38.3,75,57.4,none,91,75.3,True,hilly,9.6,95.2,636.0,2229,30.51
6.1,92,29.5,none,51,57.4,True,flat,9.6,89.5,554.9,2037,34.77
-7.4,31,17.2,snow,56,104.1,True,flat,3.7,69.2,425.0,1878,51.76
25.7,92,43.0,none,95,60.8,False,mountainous,9.3,67.2,419.7,1940,24.87
-11.0,38,66.7,none,98,102.1,False,flat,6.2,90.0,571.9,2445,39.35
0.7,98,25.9,none,70,49.6,True,flat,7.8,81.4,472.8,2387,29.19
-24.5,35,20.2,rain,95,53.0,True,mountainous,0.9,81.0,540.6,1784,65.0
-28.2,96,22.3,none,59,110.6,True,flat,0.2,72.9,499.2,1574,65.0
37.4,15,75.9,none,38,67.1,True,flat,5.1,91.7,572.8,2245,22.4
28.5,74,28.7,none,38,41.2,False,flat,0.8,51.4,348.0,2033,2.94
18.7,58,0.3,none,60,126.1,False,flat,8.9,91.7,595.2,2140,15.31
-1.4,53,62.5,none,64,47.7,True,flat,8.2,71.2,416.5,2444,41.12
-17.9,30,55.9,none,50,45.0,True,hilly,7.1,77.3,463.1,2443,64.02
-19.0,74,10.3,none,90,65.8,True,flat,0.3,97.7,600.2,2330,57.71
